"","WT","S","E","I","R","M","N","g.avg"
"463",1785.0102140504,15,0,0,10,3,25,0.252341620739964
"464",1808.2670971087,16,0,0,9,3,25,0.252341620739964
"465",1809.09401435767,16,0,0,9,2,25,0.252341620739964
"466",1814.12529109286,16,0,0,9,1,25,0.252341620739964
"467",1819.16554575597,15,1,0,9,1,25,0.252341620739964
"468",1823.20780315114,15,0,1,9,1,25,0.252341620739964
"469",1824.29102055568,15,0,0,9,2,24,0.252465011963589
"470",1825.31832314189,14,0,0,9,2,23,0.25315430811176
"471",1833.58897493135,13,1,0,9,2,23,0.25315430811176
"472",1834.66258308026,13,0,1,9,2,23,0.25315430811176
"473",1834.78004099665,14,0,1,9,2,24,0.251834789256138
"474",1836.5717896324,14,0,0,9,3,23,0.252496684417028
"475",1841.68508708477,15,0,0,9,3,24,0.251204566548688
"476",1846.58734844165,16,0,0,9,3,25,0.250015818109814
"477",1855.01111429036,15,1,0,9,3,25,0.250015818109814
"478",1856.09317326708,15,0,0,10,3,25,0.250015818109814
"479",1862.08123170682,14,1,0,10,3,25,0.250015818109814
"480",1862.48706897187,15,1,0,9,3,25,0.250015818109814
"481",1863.07382934236,15,0,0,10,3,25,0.250015818109814
"482",1885.10603490932,16,0,0,10,3,26,0.248918511858546
"483",1888.66749695979,15,0,0,10,3,25,0.250015818109814
"484",1897.61295868244,14,1,0,10,3,25,0.250015818109814
"485",1899.02222000035,14,0,0,11,3,25,0.250015818109814
"486",1912.37820768922,13,1,0,11,3,25,0.250015818109814
"487",1913.68507406409,13,0,0,12,3,25,0.250015818109814
"488",1919.93703937222,14,0,0,11,3,25,0.250015818109814
"489",1921.18549157702,15,0,0,11,3,26,0.247780121514232
"490",1923.5583669379,14,1,0,11,3,26,0.247780121514232
"491",1928.0161185274,14,0,0,12,3,26,0.247780121514232
"492",1934.04803792045,13,1,0,12,3,26,0.247780121514232
"493",1934.36520871962,13,0,0,13,3,26,0.247780121514232
"494",1969.68258653202,12,1,0,13,3,26,0.247780121514232
"495",1977.92746733525,12,0,0,14,3,26,0.247780121514232
"496",2002.81473300828,11,1,0,14,3,26,0.247780121514232
